成立以来日期,成立以来基金区间收益率,成立以来拟合指数区间收益率
2011-07-20,0.13107948905503,0.1084725531064
2011-07-21,0.12854478065945,0.104716052694797
2011-07-22,0.12911460187686,0.10522503730936
2011-07-25,0.12295707438918,0.099137449076143
2011-07-26,0.12450507955113,0.100034566852006
2011-07-27,0.1254248172602,0.101411654732813
2011-07-28,0.12439574012429,0.10000510694181
2011-07-29,0.12462665812506,0.0999383475719622
2011-08-01,0.12462872491856,0.100515601825972
2011-08-02,0.12374878864654,0.0983138611956316
2011-08-03,0.12320211929881,0.0967163342803773
2011-08-04,0.12368891236585,0.0975013599086603
2011-08-05,0.12055467384111,0.094251315168431
2011-08-08,0.11542858007699,0.0874137494358057
2011-08-09,0.11586915612339,0.0886582521377325
2011-08-10,0.11738612350241,0.0909621152565923
2011-08-11,0.12048935094622,0.095124353452877
2011-08-12,0.12147711751221,0.0965212884406008
2011-08-15,0.12330202279992,0.100118256681521
2011-08-16,0.12229118275098,0.098124913931572
2011-08-17,0.12165331902807,0.0979362662981953
2011-08-18,0.11853735426422,0.0939975580606661
2011-08-19,0.11780515191559,0.092471912837374
2011-08-22,0.11601977677307,0.0911476052939424
2011-08-23,0.11885023162092,0.0944441823592082
2011-08-24,0.11926770473149,0.0932657547567999
2011-08-25,0.12338269388652,0.0991604584081678
2011-08-26,0.12321482208742,0.0986699023798389
2011-08-29,0.12155116054977,0.0920206872308315
2011-08-30,0.12024704977027,0.0894023408788365
2011-08-31,0.12054727480634,0.0898965974371479
2011-09-01,0.12074738275169,0.0900435429285108
2011-09-02,0.11797516676564,0.0877838009911709
2011-09-05,0.11468888220134,0.0844338966918927
2011-09-06,0.11241595673397,0.0844462014859648
2011-09-07,0.11522120679205,0.0876577192024401
2011-09-08,0.11442949663456,0.0859209549060283
2011-09-09,0.11460361684869,0.0863819053758674
2011-09-13,0.11349186383317,0.0850719397712743
2011-09-14,0.1141968893847,0.0863673593767122
2011-09-15,0.11428943662187,0.0854334575356232
2011-09-16,0.1147644428889,0.0851351358468502
2011-09-19,0.11265674716356,0.0812855947114254
2011-09-20,0.11272813669086,0.082346743935484
2011-09-21,0.11634554953256,0.08803897880472
2011-09-22,0.11179286584662,0.0827882959670772
2011-09-23,0.11112406022465,0.0847351572077646
2011-09-26,0.10753777090592,0.0839889563154579
2011-09-27,0.1075738163665,0.0856967440076317
2011-09-28,0.10605599695674,0.0835689845520008
2011-09-29,0.10430419116956,0.0820155944755109
2011-09-30,0.10527846696663,0.0823691754091843
2011-10-10,0.10527463729845,0.085467900584196
2011-10-11,0.1050871970416,0.0870233811146825
2011-10-12,0.10906377156451,0.093415219313608
2011-10-13,0.10995961030318,0.0947647016659968
2011-10-14,0.11002961014908,0.0954026900969815
2011-10-17,0.11130702893359,0.0962817851796628
2011-10-18,0.1085968333901,0.0928186122278669
2011-10-19,0.10808523858942,0.0928338381921403
2011-10-20,0.10525879531139,0.0901965016145737
2011-10-21,0.10564881242423,0.0890578651482027
2011-10-24,0.10953657447295,0.0940373098567078
2011-10-25,0.11219826654225,0.0967645019783388
2011-10-26,0.11362451506399,0.0990839793831765
2011-10-27,0.11428363841141,0.0995215705138115
2011-10-28,0.1171231109329,0.103342520263788
2011-10-31,0.116756096177,0.104045999671099
2011-11-01,0.11770176667913,0.105718036806486
2011-11-02,0.12066066148502,0.109957644657346
2011-11-03,0.12094363530554,0.111138539217259
2011-11-04,0.12191132790076,0.113593319895064
2011-11-07,0.12113330463109,0.112139482315159
2011-11-08,0.12040950319133,0.113235569710412
2011-11-09,0.12220789900727,0.117607784665363
2011-11-10,0.12173281994784,0.117494528333363
2011-11-11,0.12170115312699,0.117233846636974
2011-11-14,0.1251893823882,0.122115074298721
2011-11-15,0.12500854621603,0.120929475611724
2011-11-16,0.12111667029933,0.115515623012523
2011-11-17,0.12124472494967,0.11475792108786
2011-11-18,0.11845723318076,0.110431928310652
2011-11-21,0.11910013432516,0.109786702365261
2011-11-22,0.11879484007383,0.109635504345263
2011-11-23,0.11784640693899,0.10938915079223
2011-11-24,0.11832330939235,0.109776161273593
2011-11-25,0.11791895816889,0.10844918100565
2011-11-28,0.11862083347879,0.108364887798971
2011-11-29,0.11953299211623,0.110887324586085
2011-11-30,0.11724904539894,0.104275745666294
2011-12-01,0.12104129364269,0.114767370068009
2011-12-02,0.11968199878236,0.114483073745318
2011-12-05,0.11799872419105,0.11257469008159
2011-12-06,0.11760438709294,0.111411509171681
2011-12-07,0.11810555464763,0.111995759800106
2011-12-08,0.117862302502,0.111853125822367
2011-12-09,0.11735033138686,0.110877028296743
2011-12-12,0.11716174291728,0.108308118835821
2011-12-13,0.11544246964349,0.103974624679395
2011-12-14,0.11494515068247,0.102071935910072
2011-12-15,0.1138052687099,0.097373766993281
2011-12-16,0.11569077132504,0.102300966645955
2011-12-19,0.11505115380006,0.10184867092713
2011-12-20,0.11616864450678,0.101878301646516
2011-12-21,0.11484293144686,0.0993063567526271
2011-12-22,0.11506727150948,0.0988804542435302
2011-12-23,0.11535145120531,0.100678659192436
2011-12-26,0.11477940776994,0.0997917024417142
2011-12-27,0.11370920397601,0.0975606988277931
2011-12-28,0.1130730522498,0.0980597657487805
2011-12-29,0.11421381679049,0.0989925271073823
2011-12-30,0.11562873737939,0.10212341635281
2012-01-04,0.1148921774436,0.0994818837979281
2012-01-05,0.11332820044118,0.0973513207557923
2012-01-06,0.11321648779815,0.0998490033589312
2012-01-09,0.11533902801573,0.106890146381152
2012-01-10,0.11813184409149,0.11328137814443
2012-01-11,0.11757328087633,0.111920250750416
2012-01-12,0.11679129237512,0.111803071404268
2012-01-13,0.1148921774436,0.108655246123541
2012-01-16,0.11321648779815,0.104644867959557
2012-01-17,0.11567416594482,0.114280181730007
2012-01-18,0.1137750510133,0.111173683799045
2012-01-19,0.11645615444603,0.114853004982137
2012-01-20,0.11991924637997,0.117439149499418
2012-01-30,0.11958410845088,0.114835251501576
2012-01-31,0.11991924637997,0.115689693381551
2012-02-01,0.11936068316482,0.112435695368438
2012-02-02,0.1214832233824,0.116447788329866
2012-02-03,0.12282377509876,0.118472798922614
2012-02-06,0.12394090152907,0.117602859978538
2012-02-07,0.12204178659755,0.113683118244114
2012-02-08,0.12449946474422,0.118073413199853
2012-02-09,0.12449946474422,0.117508104432272
2012-02-10,0.12449946474422,0.118141239089652
2012-02-13,0.12595172910362,0.119010619631722
2012-02-14,0.12584001646059,0.11844255723241
2012-02-15,0.12673371760483,0.11984296703149
2012-02-16,0.12595172910362,0.118510608146639
2012-02-17,0.12617515438968,0.118071577982223
