,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
日期,合计,货币类,稳定类固收,市值类固收,权益类,对冲后权益类,费用,其他,资金提取/追加（万元）
2023-03-01,117.081616066368,6.85209027268694,28.8415790990863,62.5877188470067,18.8002278475878,18.8002278475878,-17.0815238218562,-9.22445116620756e-05,0
2023-03-02,116.88871474124,8.87375518543713,28.2694925231244,61.3551312861483,18.3903357465301,18.3903357465301,-16.8483875905584,-0.0403271506814027,11555.178943
2023-03-03,113.73221264885,5.57764154286876,27.9847688387852,61.2663559621178,18.9034463050781,18.9034463050781,-13.7410434192335,0.00883077038359199,0
2023-03-04,113.73330823739,5.62447859244494,27.9855269072962,61.2210776582527,18.902225079396,18.902225079396,-13.7421386973642,0.00883045997443026,0
2023-03-05,113.695625563385,5.58559085259194,27.9862880127626,61.22274265113,18.9010040469004,18.9010040469004,-13.7432346482295,0.0476090848446274,0
2023-03-06,113.693804344928,5.68538714291483,27.9611081353204,61.330064057649,18.7172450090436,18.7172450090436,-13.7346821992535,0.04087785432568,0
2023-03-07,113.543666679455,6.39176956912203,27.869682029175,61.1669909767642,18.1152241043941,18.1152241043941,-13.5210698329391,-0.022596846516225,0
2023-03-08,113.265756538292,6.11543051990149,27.8467230284487,61.2661376034221,18.0374653865201,18.0374653865201,-13.2474139522672,-0.0183425860252898,0
2023-03-09,113.851369864165,6.60397901331389,27.8130742403518,61.2159744432074,18.218342167292,18.218342167292,-13.8594804236953,0.00811055953010074,0
2023-03-10,113.63953742558,5.98536005571594,28.3537448021633,61.1690010536255,18.1314315140754,18.1314315140754,-13.6621757933065,0.0226383677264147,-676.558342
2023-03-11,113.640361754942,6.04069340011052,28.3178271524856,61.1516338616933,18.1302073406521,18.1302073406521,-13.6630004358573,0.0226386809157633,0
2023-03-12,113.641185904783,6.04265295950018,28.3185425957715,61.1510070938956,18.1289832556154,18.1289832556154,-13.6638248992348,0.0226389944521522,0
2023-03-13,113.618121905673,6.49556724432969,28.2774394772815,60.6257448165465,18.2193703675154,18.2193703675154,-13.6413687204908,0.0232468148176903,0
2023-03-14,113.594818867131,6.06350877709991,28.8179898918135,60.6063660011783,18.1069541970396,18.1069541970396,-13.6119943400322,0.0171754729007828,0
2023-03-15,114.985920305611,7.46410441431695,28.7994204401097,60.612055656188,18.110339794996,18.110339794996,-15.0249942690738,0.0390739634632011,0
2023-03-16,113.240267790723,5.67585829696037,28.9063410464347,60.7086626279412,17.9494058193866,17.9494058193866,-13.2957134651464,0.0554456744235088,0
2023-03-17,113.422993695095,5.57167826663134,28.9006927199098,60.7285634845488,18.2220592240049,18.2220592240049,-13.4375188618921,0.0145251667973157,0
2023-03-18,113.423932229351,5.62882961647228,28.9014461207918,60.6728127449057,18.2208437471809,18.2208437471809,-13.4384594219368,0.014527192586193,0
2023-03-19,113.42487094858,5.62866722480998,28.9022013360708,60.67437393726,18.2196284504395,18.2196284504395,-13.4394001568474,0.0145292082671544,0
2023-03-20,112.762101573029,6.48516563566693,28.8352327016164,59.5837419086437,17.8579613271022,17.8579613271022,-13.2064958627516,0.444394289722429,0
2023-03-21,113.228711532945,6.94903168455158,28.9273150008982,59.5048545433394,17.8475103041559,17.8475103041559,-13.1713727156273,-0.0573388173177696,0
2023-03-22,111.889364444056,9.94595193341248,27.7323926612914,57.1288927395315,17.0821271098207,17.0821271098207,-11.8300798128431,-0.0592846312130397,24000
2023-03-23,108.086382753888,5.70234566766756,27.7532830721696,57.0951337583378,17.5356202557129,17.5356202557129,-8.06749722385322,-0.0188855300346561,0
2023-03-24,111.498569962939,8.91837793398926,27.8557933667306,57.2075906954735,17.5168079667453,17.5168079667453,-11.4828605043151,-0.0157094586236321,0
2023-03-25,111.484169184707,8.92556593153339,27.8567291821914,57.1860628283559,17.5158112426265,17.5158112426265,-11.4836384664755,-0.000530718231785836,0
2023-03-26,111.484885979701,8.94854353357485,27.8453884221444,57.1762898353362,17.5146641886456,17.5146641886456,-11.484357257711,-0.000528721990038971,0
2023-03-27,108.080903384859,5.50820457541049,27.8323877964793,57.2468629342634,17.4934480787054,17.4934480787054,-8.09702470932251,0.0161213244639836,0
2023-03-28,108.510644341969,5.73068550929161,27.8460098320266,57.3021010611031,17.631847939548,17.631847939548,-8.49716219207,-0.0134821498992455,0
2023-03-29,108.399148512178,5.77992512013598,27.9144157027899,57.2793049440673,17.4255027451844,17.4255027451844,-8.39224698482221,-0.00690152735545394,0
2023-03-30,109.244183975219,6.42215545049511,27.9993570254914,57.4263416945156,17.3963298047173,17.3963298047173,-9.23670629066707,-0.00747768455228479,0
2023-03-31,109.035352603244,7.90475265910429,28.0931544315787,55.9895384470482,17.0479070655125,17.0479070655125,-9.00932715643934,-0.026025446804369,14296.814117
