成立以来日期,成立以来累计净值,成立以来组合收益率,成立以来上证指数收益率
2009-09-03,1.01016001444441,0.0101600144444101,0.535842592847515
2009-09-04,1.01306510852406,0.0130651085240601,0.544795750853345
2009-09-07,1.01318656033587,0.0131865603358701,0.555326305765597
2009-09-08,1.013883436229,0.0138834362289999,0.581972005253672
2009-09-09,1.01481772371015,0.0148177237101501,0.590492755688644
2009-09-10,1.01648020463615,0.0164802046361501,0.578953249777724
2009-09-11,1.01855811626789,0.0185581162678901,0.613993378387936
2009-09-14,1.02017913777561,0.02017913777561,0.633939729618409
2009-09-15,1.0196729577388,0.0196729577388,0.637711554459333
2009-09-16,1.01895280910538,0.0189528091053801,0.619347458647316
2009-09-17,1.02092093680876,0.0209209368087599,0.652034447929979
2009-09-18,1.01766377982764,0.01766377982764,0.599350362957842
2009-09-21,1.01921315445096,0.0192131544509599,0.601695404765338
2009-09-22,1.01547192507296,0.01547192507296,0.564199568240232
2009-09-23,1.01217144063493,0.01217144063493,0.534599353601968
2009-09-24,1.01169225788724,0.01169225788724,0.540447382584611
2009-09-25,1.0110790650448,0.0110790650448001,0.53250533491613
2009-09-28,1.01003661663652,0.01003661663652,0.491846607058124
2009-09-29,1.00697727596593,0.0069772759659299,0.486996192546072
2009-09-30,1.00863908440991,0.00863908440991001,0.500430518149513
2009-10-09,1.01468132127995,0.0146813212799499,0.571844706840085
2009-10-12,1.0149499754352,0.0149499754352,0.562542275802615
2009-10-13,1.01743273594206,0.0174327359420601,0.58505770022873
2009-10-14,1.01911427686757,0.0191142768675701,0.603596162639232
2009-10-15,1.02176355664661,0.0217635566466099,0.608592872346917
2009-10-16,1.02178632365453,0.0217863236545299,0.606889693962329
2009-10-19,1.0278280116183,0.0278280116183001,0.640165103035546
2009-10-20,1.03046953651493,0.0304695365149299,0.665095207941618
2009-10-21,1.03190929462019,0.03190929462019,0.657610400238825
2009-10-22,1.03101192669257,0.0310119266925699,0.647257990767749
2009-10-23,1.03414146727821,0.0341414672782101,0.677723560382399
2009-10-26,1.03641838915847,0.03641838915847,0.678651536180531
2009-10-27,1.02956849312524,0.02956849312524,0.631088322890234
2009-10-28,1.03283147035598,0.03283147035598,0.636416491085442
2009-10-29,1.03192671728223,0.03192671728223,0.598162186848658
2009-10-30,1.03598145980577,0.0359814598057699,0.617262617150873
2009-11-02,1.04353834981507,0.0435383498150701,0.660881798340442
2009-11-03,1.04728980047051,0.04728980047051,0.681167705578491
2009-11-04,1.04760848582794,0.04760848582794,0.688892739709538
2009-11-05,1.05122653158282,0.05122653158282,0.70320699582546
2009-11-06,1.05244428229202,0.0524442822920199,0.708056870502841
2009-11-09,1.0569055251662,0.0569055251662001,0.714290881274702
2009-11-10,1.05970267858153,0.05970267858153,0.71592388115216
2009-11-11,1.06121960725222,0.06121960725222,0.7140787262493
2009-11-12,1.06260788936611,0.0626078893661099,0.712865717745285
2009-11-13,1.06537719037186,0.0653771903718601,0.720802367067064
2009-11-16,1.06821787935083,0.0682178793508299,0.767984457080176
2009-11-17,1.06839343891131,0.0683934389113099,0.77221730072948
2009-11-18,1.06878396148821,0.06878396148821,0.783200237095389
2009-11-19,1.07181856844323,0.07181856844323,0.792581483994713
2009-11-20,1.07417732568377,0.0741773256837699,0.785959871929624
2009-11-23,1.07813638116428,0.0781363811642799,0.802326039627105
2009-11-24,1.07114987281035,0.0711498728103499,0.740171095200385
2009-11-25,1.0786946881371,0.0786946881371,0.776145137790102
2009-11-26,1.07061433357217,0.0706143335721701,0.711804942618275
2009-11-27,1.06546702568499,0.0654670256849901,0.67147119523175
2009-11-30,1.07315771269436,0.0731577126943601,0.724934261633034
2009-12-01,1.07775550786862,0.0777555078686201,0.746561118191944
2009-12-02,1.08174485856831,0.08174485856831,0.765125492666617
2009-12-03,1.08233450509269,0.08233450509269,0.762359379816339
2009-12-04,1.07935345024138,0.07935345024138,0.790655353891318
2009-12-07,1.08287957978103,0.08287957978103,0.798673518248302
2009-12-08,1.08175595164777,0.0817559516477699,0.779653523311952
2009-12-09,1.07866673154203,0.07866673154203,0.748831122980277
2009-12-10,1.07963208906003,0.0796320890600299,0.756764533294034
2009-12-11,1.07975371518599,0.0797537151859899,0.75301484167459
2009-12-14,1.08065703625424,0.08065703625424,0.783022091654211
2009-12-15,1.08092042012319,0.0809204201231899,0.767667034294078
2009-12-16,1.08150868468678,0.0815086846867801,0.757276836396086
2009-12-17,1.07577902686038,0.07577902686038,0.716176523777829
2009-12-18,1.07151032310654,0.0715103231065399,0.680983621955941
2009-12-21,1.07245677977713,0.0724567797771301,0.685889099604356
2009-12-22,1.06941288257451,0.0694128825745099,0.6467764582419
2009-12-23,1.07058892674696,0.0705889267469599,0.659331393167529
2009-12-24,1.07433084789814,0.0743308478981399,0.702320047462265
2009-12-25,1.07512369184444,0.07512369184444,0.695811260843255
2009-12-28,1.0777930820995,0.0777930820994999,0.721416698921789
2009-12-29,1.07792873551065,0.0779287355106497,0.733819940305083
2009-12-30,1.07759515179274,0.0775951517927398,0.761264595105104
2009-12-31,1.0742449563396,0.0742449563395997,0.769113251375635
2010-01-04,1.07379947571637,0.0737994757163698,0.751094109917898
2010-01-05,1.07413283976607,0.0741328397660701,0.771834018113614
2010-01-06,1.07362932745929,0.0736293274592901,0.756738081395193
2010-01-07,1.07219900828231,0.0721990082823101,0.723571179090693
2010-01-08,1.07305316099851,0.0730531609985099,0.725309986563516
2010-01-11,1.0733916806446,0.0733916806446,0.734353836793945
2010-01-12,1.0752360644553,0.0752360644553001,0.767400355966983
2010-01-13,1.07417856537223,0.07417856537223,0.712710785194927
2010-01-14,1.07703575387822,0.0770357538782198,0.7358653738706
2010-01-15,1.07778603709224,0.0777860370922401,0.740509031703952
2010-01-18,1.08150786715767,0.0815078671576701,0.7474977313448
2010-01-19,1.08262056919235,0.0826205691923501,0.752775155081006
2010-01-20,1.07850914391322,0.0785091439132199,0.701477905376701
2010-01-21,1.07782857618803,0.07782857618803,0.705263765919051
2010-01-22,1.07450614415406,0.07450614415406,0.68892027127772
2010-01-25,1.07243449544468,0.0724344954446801,0.670470341753136
2010-01-26,1.0699333686274,0.0699333686274,0.6299735642962
2010-01-27,1.06977778318349,0.06977778318349,0.612274004963241
2010-01-28,1.07128113384828,0.0712811338482799,0.616342199038124
2010-01-29,1.07177477010356,0.0717747701035598,0.613723461052819
2010-02-01,1.07127055829391,0.0712705582939097,0.587848105639168
2010-02-02,1.07071943655265,0.0707194365526498,0.584259824586124
2010-02-03,1.07258144033038,0.0725814403303797,0.621574276662031
2010-02-04,1.07328167130032,0.0732816713003197,0.616971106428946
2010-02-05,1.07065213777749,0.0706521377774898,0.58679110935485
2010-02-08,1.07110099435427,0.0711009943542698,0.584508688369101
2010-02-09,1.07138583372933,0.0713858337293298,0.591887148641858
2010-02-10,1.07226695473184,0.0722669547318397,0.610056903972591
2010-02-11,1.07253392718655,0.0725339271865497,0.611675868148622
2010-02-12,1.07481840525686,0.0748184052568597,0.629292832777035
2010-02-22,1.07504242306299,0.0750424230629898,0.621338368911138
2010-02-23,1.07645774501227,0.0764577450122699,0.610097391572858
2010-02-24,1.07975108379206,0.0797510837920599,0.631475924183461
2010-02-25,1.08220345635665,0.0822034563566498,0.652227708741922
2010-02-26,1.0856327431012,0.0856327431011998,0.647544642977643
2010-03-01,1.08617731347758,0.0861773134775798,0.66692416780437
2010-03-02,1.08555284417161,0.0855528441716098,0.658970243773144
2010-03-03,1.08755481144648,0.0875548114464797,0.671870672887723
2010-03-04,1.08574789634503,0.0857478963450298,0.632121566449061
2010-03-05,1.0871438467852,0.0871438467851997,0.6362739747325
2010-03-08,1.08906622696065,0.0890662269606497,0.648240489867575
2010-03-09,1.08896375461998,0.0889637546199797,0.656828719636326
2010-03-10,1.08740617653681,0.0874061765368097,0.645916501612218
2010-03-11,1.08697911483126,0.0869791148312598,0.647187812260619
2010-03-12,1.08641163549398,0.0864116354939797,0.626744273298861
2010-03-15,1.08505406571306,0.0850540657130598,0.60705488337142
2010-03-16,1.08541868650748,0.0854186865074797,0.61563933429748
2010-03-17,1.08748407432988,0.0874840743298797,0.646754325020421
2010-03-18,1.08725084982382,0.0872508498238198,0.644384450818094
2010-03-19,1.08698307587358,0.0869830758735797,0.656077809610031
2010-03-22,1.08689272290727,0.0868927229072698,0.659762721069047
2010-03-23,1.08708017762662,0.0870801776266197,0.64818272755786
2010-03-24,1.0874516332181,0.0874516332180997,0.650170938648331
2010-03-25,1.08699161496323,0.0869916149632297,0.629855880338089
2010-03-26,1.08867291750254,0.0886729175025398,0.651740238034701
